ID,Layer,Category,Audit Item,Expected Good State,Observed State,Evidence Paths,Score 0-5,Percent,Criticality,Risk,Recommended Action,Priority,Effort,Owner/Suggested Agent,Notes
AR-011,Layer 1 Agentic Development Core,Review protocol,Review protocol,QA stance and verdict semantics exist.,QA role card defines PASS/PASS_WITH_WARNINGS/FAIL/BLOCKED.,docs/agents/roles/QA_REVIEWER.md,4,80%,LOW,Good review semantics.,Keep findings-first reviews.,P3,S,QA_REVIEWER,
AR-012,Layer 1 Agentic Development Core,Git discipline,Git/diff control,Status before work; no add/commit/push; diff check.,Rules exist and were followed; git status showed pre-existing untracked WP report.,AGENTS.md; evidence/git_status.txt; evidence/test_results.txt,4,80%,LOW,"Worktree can start dirty, but current task allowed audit files.",Make dirty-worktree handling explicit in audit/report tasks.,P2,S,PM_ORCHESTRATOR,
AR-013,Layer 1 Agentic Development Core,Memory/state,State/current status,Current product state and handoff are compact and current.,CURRENT_STATUS and HANDOFF are dated 2026-07-06 and align with registry.,docs/CURRENT_STATUS.md; docs/HANDOFF.md; docs/project_management/WP_REGISTRY.md,5,100%,LOW,Strong session continuity.,Keep compacting every 3-5 WPs.,P2,S,DOCUMENTATION_STEWARD,
AR-014,Layer 1 Agentic Development Core,Docs policy,Documentation update policy,Rules say which docs update for which events.,Required document update matrix exists.,docs/project_management/PROJECT_OPERATING_PROTOCOL.md; docs/project_management/AGENT_WORKFLOW.md,4,80%,MEDIUM,Manual policy can drift.,Add docs update checklist to WP report template.,P2,S,DOCUMENTATION_STEWARD,
AR-015,Layer 1 Agentic Development Core,Risk management,Risk register,Risks and blockers are centralized.,"Known limitations/current blockers exist, but no structured risk register with owner/status fields.",docs/KNOWN_LIMITATIONS.md; docs/CURRENT_STATUS.md,3,60%,HIGH,Cross-layer risks can be lost or under-prioritized.,Create canonical risk register or extend Known Limitations with owner/status/target WP.,P1,M,PM_ORCHESTRATOR,
AR-016,Layer 1 Agentic Development Core,Automation,Automated enforcement of agent rules,Governance rules should be partly machine-checkable.,project_gate exists but no CI/pre-commit enforcement found.,scripts/project_gate.py; NOT_FOUND:.github; NOT_FOUND:.pre-commit-config.yaml,2,40%,HIGH,Agents can bypass gates accidentally.,Add CI/pre-commit or mandatory gate script workflow.,P1,M,TEST_GUARDIAN,
AR-017,Layer 2 Web Application Core,Architecture,Frontend/backend/API boundaries,Boundaries and runtime shape documented.,"FastAPI/Jinja/SQLite architecture is documented, but ARCHITECTURE.md is thin.",docs/ARCHITECTURE.md; app/main.py; app/api/routes.py; app/web/routes.py,3,60%,MEDIUM,New features may blur route/service/policy boundaries.,"Expand architecture map with modules, data flow and mutation boundaries.",P1,M,RUNTIME_GUARDIAN,
AR-018,Layer 2 Web Application Core,API contracts,API contract documentation,Endpoints and payload contracts should be versioned or documented.,README lists endpoints; no OpenAPI contract review/versioning docs found.,README.md; app/api/routes.py; NOT_FOUND:api_contracts,2,40%,MEDIUM,Agent changes may break callers/UI silently.,Add API contract inventory and smoke/contract tests for core endpoints.,P1,M,RUNTIME_GUARDIAN,
AR-019,Layer 2 Web Application Core,Database,Database boundaries,Persistence layer separated from policy and protected from prod mutation.,SQLAlchemy models/session exist; production DB guardrails documented.,app/db/models.py; app/db/session.py; AGENTS.md; docs/MIGRATIONS.md,3,60%,HIGH,Legacy startup schema changes remain a risk for production DB.,Replace legacy schema upgrade path with migration baseline.,P0,L,DB_GUARDIAN,
AR-020,Layer 2 Web Application Core,Auth/session,Auth/session model,"Owner auth, session policy and CSRF rules exist.","Session middleware, owner auth services and security docs exist.",app/main.py; app/services/auth.py; docs/SECURITY.md; tests/test_auth.py; tests/test_security.py,4,80%,MEDIUM,Single-owner policy is fragile by docs admission.,Add explicit owner state/config and harden multi-record edge cases.,P1,M,DB_GUARDIAN,
AR-021,Layer 2 Web Application Core,Validation,Input validation,Inputs should be validated at API/web boundaries.,Some validation exists in endpoints/services; no broad request schema/contracts for all mutations.,app/api/routes.py; app/web/routes.py; app/services/importer.py; tests/test_importer.py,3,60%,MEDIUM,Boundary validation may remain inconsistent.,Add route-level validation inventory for mutating endpoints.,P2,M,RUNTIME_GUARDIAN,
AR-022,Layer 2 Web Application Core,Errors,Error handling,Errors should be explicit and user-safe.,HTTP exceptions and import job result_json patterns exist; job status is coarse by docs.,app/api/routes.py; docs/STEAM_IMPORT.md; docs/CURRENT_STATUS.md,3,60%,MEDIUM,Background job failures can be hard to reason about.,Create job error taxonomy and result_json schema doc.,P1,M,IMPORT_GUARDIAN,
AR-023,Layer 2 Web Application Core,Logging,Logging policy,Security/runtime events logged without secrets.,Security docs mention app logger; no central observability spec.,docs/SECURITY.md; app/services/security.py,3,60%,MEDIUM,Incidents may require manual log spelunking.,Add logging/observability runbook and event inventory.,P2,M,RUNTIME_GUARDIAN,
AR-024,Layer 2 Web Application Core,Deployment,Deployment docs/config,Deployment config and runtime smoke policy exist.,systemd/nginx/docker references exist; personal/VPS only.,docs/DEPLOYMENT.md; deploy/systemd/jc-coach.service; deploy/nginx/jcnodex.conf; Dockerfile; docker-compose.yml,3,60%,MEDIUM,Repo config may differ from live system config.,Add deploy verification checklist with live-vs-repo config comparison.,P2,M,RUNTIME_GUARDIAN,
AR-025,Layer 2 Web Application Core,Environments,Environment docs,Env vars documented without exposing secrets.,README and env var names exist; .env is ignored; no full env reference for newer vars found.,.env.example; .gitignore; README.md; evidence/commands_run.txt,3,60%,MEDIUM,Missing env docs can cause unsafe defaults.,Create safe env reference with required/optional vars and no values.,P1,S,RUNTIME_GUARDIAN,
AR-026,Layer 2 Web Application Core,Migrations,Migration system,Schema changes should use migration-first process.,"Migration discipline exists, but Alembic absent and startup create_all/_upgrade_sqlite_schema remains legacy.",docs/MIGRATIONS.md; app/db/session.py; pyproject.toml,2,40%,BLOCKER,Future schema work is unsafe without a real migration baseline.,Adopt Alembic or equivalent baseline before schema features.,P0,L,DB_GUARDIAN,
AR-027,Layer 2 Web Application Core,Security,Security baseline,"Auth, CSRF, rate limits, secret fail-fast and public blockers documented/tested.",Security P0 appears implemented with tests; friends/public still blocked.,docs/SECURITY.md; app/main.py; tests/test_security.py; tests/test_ownership.py,4,80%,HIGH,Personal/VPS only; public exposure unsafe.,Do not expand access until release security gates pass.,P0,M,RUNTIME_GUARDIAN,
AR-028,Layer 2 Web Application Core,Performance,Performance readiness,Known performance thresholds and profiling path should exist.,WP-017H accepted helper performance with warnings; /coach may need optimization before larger data.,docs/CURRENT_STATUS.md; docs/KNOWN_LIMITATIONS.md; docs/audit/WP_017H_POST_BATCH_PERFORMANCE_ACCEPTANCE_REPORT.md,3,60%,MEDIUM,Scaling demos may degrade coach page.,Add performance budget and benchmark command for /coach and stats.,P2,M,RUNTIME_GUARDIAN,
AR-029,Layer 2 Web Application Core,Background jobs,Worker/job architecture,Durable jobs should have retry/visibility.,FastAPI BackgroundTasks and ImportJob exist; docs call Steam import alpha and durable worker future work.,app/api/routes.py; app/web/routes.py; app/db/models.py; docs/KNOWN_LIMITATIONS.md,2,40%,HIGH,Interrupted jobs and retries remain operational risks.,Design durable worker/retry ledger before cap raise.,P1,L,IMPORT_GUARDIAN,
AR-030,Layer 2 Web Application Core,Static/frontend,Frontend architecture,UI structure should be mapped and test-covered.,Server-rendered Jinja templates and CSS exist with smoke tests; no frontend component contract.,app/templates; app/static/app.css; tests/test_web_smoke.py; tests/test_coach_first_ui.py,3,60%,MEDIUM,UI regressions rely on limited smoke tests.,Add route/template inventory and targeted UI acceptance tests.,P2,M,UI_COACH_GUARDIAN,
AR-031,Layer 3 AI Coach Product Archetype,Model,Generic coach model,Product should define user/session/metric/recommendation/progress concepts.,"Recommendation loop is documented; generic coach archetype is implicit, not separated from CS2.",docs/RECOMMENDATIONS.md; app/db/models.py,3,60%,HIGH,Future non-CS2 reuse or refactor can mix domain and coach logic.,Create AI Coach archetype model doc separate from CS2 domain pack.,P1,M,METRICS_GUARDIAN,
AR-032,Layer 3 AI Coach Product Archetype,User goals,User goals,"Goals should have baseline, target, lifecycle and evidence.",CoachRecommendation has baseline/target/status; category goals exist.,app/db/models.py; app/services/recommendation_tracking.py; docs/RECOMMENDATIONS.md,4,80%,MEDIUM,Multiple categories dilute focus; planner missing.,Keep only one primary accepted focus until planner exists.,P1,M,METRICS_GUARDIAN,
AR-033,Layer 3 AI Coach Product Archetype,Recommendations,Recommendation generation,Recommendations should come from verified top problem snapshot.,"Default category recommendations exist, but planner/top verified problem selection is future work.",docs/RECOMMENDATIONS.md; docs/KNOWN_LIMITATIONS.md; app/services/recommendation_tracking.py,2,40%,BLOCKER,Coach may optimize around pre-baked categories instead of current strongest problem.,Build diagnosis registry and planner in WP-018/next.,P0,L,METRICS_GUARDIAN,
AR-034,Layer 3 AI Coach Product Archetype,Progress,Progress tracking,Per-match evaluation and progress should be explicit.,Evaluations table and progress helpers exist; active #5 has progress evidence.,app/db/models.py; app/services/recommendation_tracking.py; docs/CURRENT_STATUS.md,4,80%,MEDIUM,Progress wording rough after small sample.,Calibrate progress wording and sample confidence.,P1,M,UI_COACH_GUARDIAN,
AR-035,Layer 3 AI Coach Product Archetype,Execution check,Checking recommendation execution,System should evaluate next matches against accepted recommendation.,Evaluation functions exist and tests cover tracking; legacy recs blocked.,tests/test_recommendation_tracking.py; tests/test_recommendation_read_write_split.py; app/services/recommendation_tracking.py,4,80%,MEDIUM,Hard evidence depends on metric confidence.,Keep metric_confidence mandatory in evaluations.,P1,S,METRICS_GUARDIAN,
AR-036,Layer 3 AI Coach Product Archetype,Confidence,Confidence model,Advice confidence should be modeled and surfaced.,Metric Truth and metric_confidence exist; AI output has confidence fields.,docs/METRICS.md; app/services/metric_truth.py; app/services/metric_confidence.py; docs/AI_COACH.md,4,80%,MEDIUM,Confidence semantics split across modules; no single advice-confidence contract.,Create coach advice confidence contract.,P1,M,METRICS_GUARDIAN,
AR-037,Layer 3 AI Coach Product Archetype,Explainability,Explainability,Recommendations should cite evidence metrics/matches/caveats.,"AI schema requires evidence metric ids; recommendation evidence JSON exists, but evidence links are incomplete.",docs/AI_COACH.md; app/db/models.py; docs/RECOMMENDATIONS.md,3,60%,HIGH,Coach advice may be hard to audit at match/metric level.,Add evidence link model from problem -> metric -> match -> recommendation.,P1,L,METRICS_GUARDIAN,
AR-038,Layer 3 AI Coach Product Archetype,Prompts,AI prompt/payload versioning,Prompt and payload versions should be explicit.,Docs identify prompt/payload version tracking as a gap.,docs/AI_COACH.md; app/services/ai_coach.py,2,40%,HIGH,AI outputs may not be reproducible across prompt changes.,Add prompt_version and payload_version to handoff/result metadata.,P1,M,METRICS_GUARDIAN,
AR-039,Layer 3 AI Coach Product Archetype,AI evals,AI evals,AI output quality should be tested beyond schema.,Validator tests exist; semantic entailment/evals are not present.,tests/test_ai_validator.py; docs/AI_COACH.md; NOT_FOUND:evals,2,40%,HIGH,Schema-valid but semantically weak advice can pass.,Add small golden AI-output eval suite.,P1,M,QA_REVIEWER,
AR-040,Layer 3 AI Coach Product Archetype,Hallucination prevention,Hallucination prevention,AI cannot use suppressed/unavailable metrics or unknown IDs.,AI validator rejects unknown/suppressed/unavailable metrics and requires caveats.,app/services/ai_validator.py; tests/test_ai_validator.py; docs/AI_COACH.md,4,80%,MEDIUM,Post-generation validation only; provider structured mode shallow.,Add provider structured-response enforcement.,P2,M,METRICS_GUARDIAN,
AR-041,Layer 3 AI Coach Product Archetype,Fallback,Fallback behavior,Invalid AI output falls back safely.,Fallback Markdown and metadata exist per validator.,app/services/ai_validator.py; docs/AI_COACH.md; tests/test_ai_validator.py,4,80%,LOW,Good guard for invalid AI output.,Keep fallback visible in UI history.,P2,S,UI_COACH_GUARDIAN,
AR-042,Layer 3 AI Coach Product Archetype,Separation,Coach archetype vs CS2 domain,Generic coach logic should not be hardwired to CS2 concepts.,Generic and CS2-specific logic are mixed in services and docs.,app/services/recommendation_tracking.py; app/services/coach_rules.py; docs/METRICS.md,2,40%,MEDIUM,Future expansion/refactor harder; CS2 assumptions can leak into generic coach flow.,Define package boundaries for coach_core vs cs2_domain.,P2,L,PM_ORCHESTRATOR,
AR-043,Layer 4 CS2 Domain Pack,Match model,Match/round model,CS2 match and round entities should be persisted with confidence.,"Match, DemoRound and parser artifact tables exist.",app/db/models.py; app/services/demo_parser.py,4,80%,MEDIUM,Round details exist but domain docs are scattered.,Add CS2 domain model map.,P1,M,IMPORT_GUARDIAN,
AR-044,Layer 4 CS2 Domain Pack,Maps,Maps,Map names and map filters should be normalized.,map_name stored/indexed and map stats exist; no canonical map registry found.,app/db/models.py; app/services/analytics.py; NOT_FOUND:cs2_map_registry,2,40%,MEDIUM,Typos/aliases can split map stats.,Add CS2 map registry/normalizer and tests.,P2,M,METRICS_GUARDIAN,
AR-045,Layer 4 CS2 Domain Pack,Sides,CT/T sides,Side split should be represented with confidence.,Side fields exist but Metric Truth marks side split low/suppressed for hard claims.,app/db/models.py; docs/METRICS.md; app/services/metric_truth.py,3,60%,HIGH,Side-specific coaching would be unsafe now.,Keep side metrics display-only until parser confidence improves.,P1,M,METRICS_GUARDIAN,
AR-046,Layer 4 CS2 Domain Pack,First death,First death / early death logic,Opening/early deaths should be defined and test-backed.,entry_deaths medium; early_deaths approximate and no fallback rule documented/tested.,docs/METRICS.md; app/services/metric_truth.py; tests/test_parser_facts_confidence.py,4,80%,MEDIUM,Good caveats; not yet a hard early-round model.,Keep early_deaths warning-only.,P2,S,METRICS_GUARDIAN,
AR-047,Layer 4 CS2 Domain Pack,Trades,Trade logic,Trade kills/deaths should be reliable before advice.,trade_kills low; traded_deaths unavailable/suppressed.,docs/METRICS.md; app/services/metric_truth.py; app/db/models.py,3,60%,HIGH,Trade advice could be hallucinated if guardrails bypassed.,Do not build hard trade recommendations before parser hardening.,P1,M,METRICS_GUARDIAN,
AR-048,Layer 4 CS2 Domain Pack,Utility,Utility logic,Grenade damage/flash impact should have confidence.,utility_damage medium; flash metrics approximate; grenade events persisted.,app/db/models.py; docs/METRICS.md; app/services/metric_truth.py,3,60%,MEDIUM,Utility coaching still approximate.,Add utility event fixture and confidence thresholds.,P2,M,METRICS_GUARDIAN,
AR-049,Layer 4 CS2 Domain Pack,Economy,Economy model,Economy states should exist before economy recommendations.,No economy model/formulas found.,NOT_FOUND:economy model; app/db/models.py; docs/METRICS.md,0,0%,MEDIUM,Economy coaching cannot be trusted.,Mark economy explicitly unavailable in domain pack.,P2,M,METRICS_GUARDIAN,
AR-050,Layer 4 CS2 Domain Pack,Aim,Aim metrics,Aim metrics should avoid unsupported accuracy/spray claims.,"Aim profile exists; accuracy low, aim_rating unavailable; docs warn against invented metrics.",app/services/aim_stats.py; docs/METRICS.md; app/services/metric_truth.py; README.md,4,80%,MEDIUM,Aim advice bounded to available metrics.,Keep crosshair/spray unavailable until data exists.,P2,S,METRICS_GUARDIAN,
AR-051,Layer 4 CS2 Domain Pack,Positioning,Positioning model,Position/time/heatmap facts should be explicit before positioning advice.,crosshair/positioning data unavailable; no position timeline contract.,docs/METRICS.md; NOT_FOUND:position model,1,20%,MEDIUM,Positioning advice would be speculative.,Document positioning as unavailable until parser payload supports it.,P2,M,METRICS_GUARDIAN,
AR-052,Layer 4 CS2 Domain Pack,Clutch,Clutch model,Clutch attempts/wins should have definitions.,"clutches_won/lost fields exist, but metric truth does not define clutch reliability.",app/db/models.py; docs/METRICS.md,2,40%,MEDIUM,Clutch advice lacks accepted formula.,Add clutch metric definition or mark unavailable.,P2,M,METRICS_GUARDIAN,
AR-053,Layer 4 CS2 Domain Pack,Entry,Entry model,Entry kills/deaths should be represented and caveated.,Entry metrics exist with medium reliability and AI warning.,docs/METRICS.md; app/services/metric_truth.py,4,80%,LOW,Entry coaching is relatively bounded.,Add sample-size thresholds for entry conclusions.,P2,S,METRICS_GUARDIAN,
AR-054,Layer 4 CS2 Domain Pack,Data sources,Demos/FACEIT/Steam,Data sources and limitations should be explicit.,Steam/demo documented; FACEIT deferred; match mode unknown accepted.,docs/STEAM_IMPORT.md; docs/CURRENT_STATUS.md; docs/KNOWN_LIMITATIONS.md,4,80%,MEDIUM,FACEIT and playlist-specific claims blocked.,Keep source limitations visible in UI/coach output.,P1,S,IMPORT_GUARDIAN,
AR-055,Layer 4 CS2 Domain Pack,Sample size,Sample size rules,Metric recommendations need sample thresholds.,Some exact-date/window confidence exists; no universal sample-size policy for all domain metrics.,app/services/metric_confidence.py; docs/METRICS.md,3,60%,HIGH,Small sample advice may sound too certain.,Define sample-size thresholds per metric/category.,P1,M,METRICS_GUARDIAN,
AR-056,Layer 4 CS2 Domain Pack,Glossary,Domain glossary,CS2 terms should be defined for agents.,Terms appear across docs but no canonical glossary found.,docs/METRICS.md; docs/STEAM_IMPORT.md; NOT_FOUND:CS2 glossary,2,40%,LOW,Agents may use terms inconsistently.,Add concise CS2 domain glossary.,P3,S,DOCUMENTATION_STEWARD,
AR-057,Layer 5 Project Instance,Stack,Current stack,Stack should be obvious from docs/config.,FastAPI/Jinja/SQLite/SQLAlchemy/pytest/ruff clear in docs and pyproject.,pyproject.toml; README.md; docs/CURRENT_STATUS.md,5,100%,LOW,Good onboarding.,Keep README current with port 8010 vs local 8000 distinction.,P3,S,RUNTIME_GUARDIAN,
AR-058,Layer 5 Project Instance,Repo structure,Repo map,Repository structure should be navigable.,"DOCS_INDEX and inventories exist; no file named PROJECT_INDEX, but docs index covers role.",docs/project_management/DOCS_INDEX.md; NOT_FOUND:PROJECT_INDEX; evidence/file_inventory.txt,4,80%,LOW,Name mismatch with expected PROJECT_INDEX is minor.,Optionally add PROJECT_INDEX pointer or document DOCS_INDEX as equivalent.,P3,S,DOCUMENTATION_STEWARD,
AR-059,Layer 5 Project Instance,Features,Current features,Implemented features should be listed and bounded.,README and acceptance matrix list current features and warnings.,README.md; docs/project_management/ACCEPTANCE_MATRIX.md,4,80%,LOW,Feature truth is distributed.,Keep acceptance matrix as canonical feature status.,P2,S,PM_ORCHESTRATOR,
AR-060,Layer 5 Project Instance,Limitations,Known limitations,Known limitations should be explicit.,Known Limitations and Current Status are current and concrete.,docs/KNOWN_LIMITATIONS.md; docs/CURRENT_STATUS.md,5,100%,LOW,Strong limitation disclosure.,Add owner/target WP fields for risk tracking.,P2,M,PM_ORCHESTRATOR,
AR-061,Layer 5 Project Instance,Roadmap,Roadmap,Roadmap should link versions to WPs and evidence.,VERSION_ROADMAP and WP_REGISTRY are current.,docs/project_management/VERSION_ROADMAP.md; docs/project_management/WP_REGISTRY.md,5,100%,LOW,Strong roadmap control.,Maintain registry-first status.,P2,S,PM_ORCHESTRATOR,
AR-062,Layer 5 Project Instance,Deployment,Current deployment,Runtime service and bind target should be documented.,CURRENT_STATUS and deploy docs show jc-coach.service on 127.0.0.1:8010.,docs/CURRENT_STATUS.md; deploy/systemd/jc-coach.service; docs/DEPLOYMENT.md,4,80%,MEDIUM,Live config not verified in this read-only audit.,Add authorized runtime config verification in deploy WP.,P2,M,RUNTIME_GUARDIAN,
AR-063,Layer 5 Project Instance,Product decisions,Product decisions,Durable product/process decisions should be captured.,DECISIONS.md exists and is current.,docs/DECISIONS.md,4,80%,LOW,Good decision memory.,Keep decision entries brief and dated.,P3,S,PM_ORCHESTRATOR,
AR-064,Layer 5 Project Instance,Current status,Current state,"Active WP, next WP, blockers and DB SHA should be stated.","CURRENT_STATUS includes version, next WP, SHA, blockers and do-not-do list.",docs/CURRENT_STATUS.md,5,100%,LOW,Strong state handoff.,Re-check SHA before any DB-dependent WP.,P2,S,DB_GUARDIAN,
AR-065,Layer 5 Project Instance,Old docs,Historical docs,Old docs should be classified and not override current truth.,DOCS_INDEX/DOCS_MAP classify many stale docs and old prompts.,docs/project_management/DOCS_INDEX.md; docs/project_management/DOCS_MAP.md,4,80%,MEDIUM,Physical cleanup not done; noise remains.,Continue conservative pointer cleanup; no deletion without approval.,P2,M,DOCUMENTATION_STEWARD,
AR-066,Layer 5 Project Instance,Data artifacts,Runtime artifacts in repo,Runtime data should be ignored and protected.,data/backups/uploads/caches exist in worktree but ignored; hard rules forbid committing.,.gitignore; evidence/file_inventory.txt; AGENTS.md,3,60%,MEDIUM,Large/sensitive local artifacts increase accidental command risk.,Add audit command filters and storage hardening WP.,P2,M,DB_GUARDIAN,
AR-067,Layer 5 Project Instance,Data schema,Database schema contract,"Schema should have model, migration and acceptance evidence.",Models exist; migration baseline absent; manual legacy upgrades remain.,app/db/models.py; docs/MIGRATIONS.md; app/db/session.py,2,40%,BLOCKER,Schema evolution can become unsafe.,Create migration baseline and schema diff gate.,P0,L,DB_GUARDIAN,
AR-068,Layer 5 Project Instance,Metric formulas,Metric formulas,Metric formulas and reliability should be documented.,Metric Truth table and runtime registry exist.,docs/METRICS.md; app/services/metric_truth.py; tests/test_metric_truth.py,4,80%,MEDIUM,Some formulas still approximate/unavailable.,Keep formula/reliability sync tests.,P1,M,METRICS_GUARDIAN,
AR-069,Layer 5 Project Instance,Invariants,Metric invariants,Invariants should be test-backed.,Tests cover metric truth and some parser confidence; no broad invariant suite for all aggregates.,tests/test_metric_truth.py; tests/test_analytics.py; tests/test_parser_facts_confidence.py,3,60%,HIGH,Aggregate regressions may pass if not in fixtures.,Add golden aggregate fixture suite.,P1,M,TEST_GUARDIAN,
AR-070,Layer 5 Project Instance,Null handling,Null/empty data,Metrics should handle missing data honestly.,Import tolerates incomplete rows; confidence/date gating exists.,tests/test_importer.py; app/services/metric_confidence.py; docs/METRICS.md,4,80%,MEDIUM,Good but should remain covered as features expand.,Add null/empty tests for each new metric.,P2,S,TEST_GUARDIAN,
AR-071,Layer 5 Project Instance,Deduplication,Deduplication,Import should dedupe source/external IDs.,Unique constraint and importer tests exist.,app/db/models.py; tests/test_importer.py,4,80%,LOW,Dedupe surface is clear for current sources.,Document source trust per importer.,P2,S,IMPORT_GUARDIAN,
AR-072,Layer 5 Project Instance,Source trust,Source trust levels,Data sources should have trust/confidence labels.,Metric Truth and match date truth exist; no unified source trust table.,docs/METRICS.md; docs/STEAM_MATCH_DATES_RU.md; docs/CURRENT_STATUS.md,3,60%,HIGH,Source-specific facts may be overused by new agents.,Create source trust registry for CSV/JSON/demo/Steam/FACEIT.,P1,M,METRICS_GUARDIAN,
AR-073,Layer 5 Project Instance,Aggregation,Aggregation rules,Aggregation windows and ordering should be reproducible.,Analytics and metric_confidence modules exist; limited docs.,app/services/analytics.py; app/services/metric_confidence.py; tests/test_analytics.py,3,60%,MEDIUM,New agents may alter windows unintentionally.,Document aggregation rules and add golden fixtures.,P1,M,METRICS_GUARDIAN,
AR-074,Layer 5 Project Instance,Period comparison,Period comparison,Period compare should be defined and tested.,compare_periods exists and tests exist.,app/services/analytics.py; tests/test_analytics.py,3,60%,MEDIUM,Formula details not canonical in docs.,Document period comparison semantics.,P2,S,METRICS_GUARDIAN,
AR-075,Layer 5 Project Instance,Filters,Map/side/player filters,Filters should not imply unsupported claims.,Map filters exist; side/player filter confidence not fully documented.,app/web/routes.py; app/templates/stats.html; docs/METRICS.md,3,60%,MEDIUM,Side/player assumptions can be unsafe.,Add filter confidence labels and tests.,P2,M,UI_COACH_GUARDIAN,
AR-076,Layer 5 Project Instance,Reproducibility,Calculation reproducibility,Calculations should be reproducible from fixtures and versioned rules.,"Tests pass, but prompt/payload/metric versions not complete.",evidence/test_results.txt; docs/AI_COACH.md; app/services/metric_truth.py,3,60%,HIGH,AI/metric outputs may be hard to reproduce after rule changes.,Version metric registry/prompt payload snapshots.,P1,M,METRICS_GUARDIAN,
AR-077,Layer 5 Project Instance,Code quality,Coding standards,Lint/format/type rules should exist.,Ruff configured and passes; no type checker config found.,pyproject.toml; evidence/test_results.txt; NOT_FOUND:mypy/pyright,3,60%,MEDIUM,Type regressions may escape.,Add mypy/pyright gradually for services.,P2,M,TEST_GUARDIAN,
